"api_number","reported_on","barrels_oil","mcf_gas","barrels_water","days_producing"
"4900538732","20090601","0","6","3108.9",""
"4900538744","20120501","0","244.9","0",""
"4900538283","20070701","0","0","12028.93",""
"4900538284","20070701","0","0","5424.07",""
"4900538293","20070801","0","740.9","430.9",""
"4900538297","20070801","0","426.87","3187.11",""
"4900538299","20070801","0","664.95","743.07",""
"4900538827","20070801","0","429.04","2976",""
"4900531588","20070801","0","65.1","0",""
"4900535026","20070701","0","0","10850",""
"4900543219","20070801","0","496.93","332.94",""
"4900537528","20060201","0","24.08","0",""
"4900546094","20070801","0","2599.97","616.9",""
"4900546095","20070801","0","1515.9","407.03",""
"4900537977","20030701","0","571.95","550.87",""
"4900530364","20061001","0","21.08","0",""
"4900537164","20070801","0","1203.11","7387.92",""
"4900537168","20070801","0","876.06","2813.87",""
"4900537404","20070301","0","27.9","0",""
"4900537534","20070801","0","1219.85","0",""
"4900537535","20070201","0","1.12","0",""
"4900537551","20070801","0","0","1045.01",""
"4900537552","20070401","0","99.9","0",""
"4900537540","20070401","0","14.1","0",""
"4900536156","20070501","0","0","3255.93",""
"4900536157","20070801","0","858.08","0",""
"4900536158","20070501","0","328.91","0",""
"4900537565","20061201","0","636.12","0",""
"4900537566","20070501","0","26.04","0",""
"4900537567","20051201","0","23.87","0",""
"4900537334","20070801","0","598.92","310",""
"4900537335","20070801","0","173.91","465",""
"4900537336","20070801","0","757.95","1860",""
"4900537338","20070801","0","274.97","310",""
"4900537340","20061201","0","5.89","0",""
"4900537342","20070801","0","492.9","928.14",""
"4900537344","20070801","0","497.86","1085",""
"4900537341","20060601","0","0","2100",""
"4900537346","20070801","0","487.01","0",""
"4900537521","20030501","0","171.12","0",""
"4900537627","20070401","0","21","0",""
"4900537629","20021201","0","30.07","0",""
"4900537629","20070701","0","177.01","0",""
"4900537630","20070701","0","392.15","1821.87",""
"4900537631","20070701","0","2741.02","1885.11",""
"4900537631","20030701","0","131.13","0",""
"4900537632","20070701","0","249.86","1102.05",""
"4900537633","20070701","0","474.92","0",""
"4900537643","20070701","0","44.02","1328.04",""
"4900537645","20070701","0","283.96","0",""
"4900537646","20021201","0","21.08","0",""
"4900537647","20070701","0","278.07","0",""
"4900537648","20070701","0","1.86","1501.02",""
"4900537589","20070701","0","0","2379.87",""
"4900537588","20050501","0","234.98","0",""
"4900537343","20070701","0","1.86","0",""
"4900537589","20050301","0","82.15","1559.92",""
